name,top_keywords,x,y,discipline_en,discipline_sp
A,"ocinaplon, bz, tsallis, poles, anxiety, nitroreductive, sleeping",-6.025377,1.7577542,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Aagaard, Natalia Desiré","au, mpa, sams, rs, thiyl, 111, sulfur",-4.589591,-0.26589113,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Aagesen, Lone","species, c4, paniceae, endemism, andes, clade, flourensia",4.8162446,1.8539486,Agronomy & Plant Sciences,Botánica y agronomía
"Aba, Marcelo Alfredo","llamas, tumores, e2, oestradiol, plasma, day, gnrh",0.1342352,1.6227183,Cell Biology & Oncology,Biología celular
"Abad, Manuel","algebras, implication, wajsberg, algebra, boolean, hoops, mv",-6.222165,3.1638772,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abadi, Diego Alejandro","maimon, deleuze, salomon, derrida, deleuzian, différance, pensamiento",-1.3597866,8.844111,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abadi, Florencia","benjamin, walter, mímesis, redemption, redención, zeus, rememoración",-1.2771051,8.776805,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abadi, Mario Gabriel","galaxies, galaxy, udgs, halo, dark, stellar, mass",-7.8257074,1.7797487,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abadía, María Bernadette","atmospheres, vigor, humidity, grain, germination, seed, elevators",3.111931,2.025877,Agronomy & Plant Sciences,Botánica y agronomía
"Abadie, Nicolás Daniel","denevi, narrativa, argumental, marco, deneviana, estentóreos, sarcástica",-0.5432903,9.157967,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abal Medina, Juan Manuel","1862, gobiernos, argentina, partidos, gobierno, política, electoral",-0.027778493,7.6694736,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abal Medina, Paula","sindicales, trabajadores, capital, sindical, supermarket, coto, union",-0.123134255,7.102454,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abal, Facundo Juan Pablo","prosocial, ítems, items, item, ítem, neuroticismo, escala",-2.092259,5.3691225,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Abal, Federico German","macklin, sterba, vidiella, duty, graciela, deliberative, princípio",-0.7884978,6.1451154,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abal, Yamila Soledad","centralidades, informalizado, barrio, informalidades, matanza, catán, pandemia",0.17047867,6.942531,Social Sciences & Humanities,Ciencias sociales y humanidades
"Aballay, Fernando Hernán","fannia, species, fanniidae, cadáveres, carcasses, histeridae, tenebrionidae",6.0221076,2.5810654,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Aballay, Jose Luis","leoncito, astro, meteorological, sky, casleo, observatory, cloud",3.0820596,5.4116864,Ecology & Earth Sciences,Ecología y ciencias de la tierra
"Aballay, Laura Rosana","obesity, ic95, física, dietary, ci, obesidad, diet",-0.6469074,4.383263,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Aballay, Pablo M","controller, equations, bench, wines, linear, alcoholicfermentation, solving",-4.5039454,2.5113325,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abalone, Rita Monica","o2, respiration, climate, temperature, tw, storage, projections",2.8664293,2.2102196,Agronomy & Plant Sciences,Botánica y agronomía
"Abalos Irazabal, Mariana","iemanjá, fiesta, celebraciones, afrorreligiosos, afrorreligiosas, ribera, frigerio",0.41675735,8.511991,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abalos Luna, Marcos Gabriel","soto, dignus, agroalfareras, córdoba, sociedades, villa, absoluta",2.8217325,7.7871423,Social Sciences & Humanities,Ciencias sociales y humanidades
"Ábalos, Edgardo","lcg, calcium, research, eclampsia, supplements, avenues, stakeholders",-0.8516956,4.35852,"Psychology, Neurology & Public Health","Salud pública, psicología y neurobiología"
"Abalos, Edgardo Javier","aborto, legal, 2020, rosario, barreras, ive, barriers",-0.8329624,6.6022015,Social Sciences & Humanities,Ciencias sociales y humanidades
"Abalos, Julio Fernando","equations, kreiss, hyperbolic, kronecker, unknowns, posed, metrics",-5.999576,2.4153733,"Physics, Chemistry & Astronomy","Física, química y astronomía"
"Abalos, Rosa Ana","vide, boga, vacuum, sous, patties, rice, bran",1.3111336,1.3966663,Agronomy & Plant Sciences,Botánica y agronomía
"Abán Moreyra, Daira Nahir","flebótomos, cortelezzii, ch, migonei, sm, bm, neivai",5.489581,1.0254766,Agronomy & Plant Sciences,Botánica y agronomía
"Aban, Carla Luciana","bean, soil, monoculture, brizantha, brachiaria, common, microbial",3.1853085,1.6902343,Agronomy & Plant Sciences,Botánica y agronomía
"Aban, Cyntia Estefania","placentas, pirnas, aea, emt, placenta, parto, anandamide",-0.2326093,0.78928065,Cell Biology & Oncology,Biología celular
